页面名称,功能模块,详细功能描述,产品经理(人天),前端工程师(人天),后端工程师(人天),测试工程师(人天)
管理端-登录页面,登录功能,管理员通过账号密码登录管理端系统，包含账号密码验证、Token生成和登录日志记录。,0.5,1,1,0.5
管理端-登录页面,登录状态管理,实现登录状态的持久化，包括Token存储、Token自动刷新、单点登录控制（同一账号同时只能一处登录）。,0.2,0.5,0.5,0.3
管理端-用户管理页面,用户列表展示,展示所有管理人员信息列表，支持分页、多条件搜索（姓名、账号、角色、状态）、表格排序和操作按钮。,0.3,1,0.8,0.5
管理端-用户管理页面,用户增删改查,管理人员的添加、编辑、删除功能。添加时包含账号唯一性校验、密码强度校验；编辑时预填充数据；删除时支持单个和批量操作。,0.3,1.5,1,0.5
管理端-用户管理页面,权限管理,设置管理员权限级别（超级管理员、普通管理员等），根据角色动态控制菜单和功能按钮的显示，实现细粒度权限配置。,0.5,1,1.5,0.5
管理端-用户管理页面,密码重置,重置管理人员密码功能，生成随机新密码并通知用户，记录操作日志。,0.2,0.5,0.5,0.3
管理端-题目管理页面,题目列表展示,展示题库中所有题目，支持分页、多条件筛选（题型、分类、难度、时间范围）、关键词搜索和表格排序。,0.3,1.2,0.8,0.5
管理端-题目管理页面,题目导入-模板下载,提供Excel/CSV格式的题目导入模板下载，模板包含题型、题目内容、选项、正确答案、分类、难度、解析等字段说明。,0.2,0.3,0.5,0.2
管理端-题目管理页面,题目导入-批量导入,支持通过Excel/CSV文件批量导入题目，包含文件上传、进度显示、导入结果统计（成功/失败条数）和错误报告下载。,0.5,1,2,1
管理端-题目管理页面,题目导入-数据校验,导入时的数据格式校验和错误提示功能，包括题型合法性、选项数量、答案范围、分类存在性、难度有效性等校验规则。,0.3,0.5,1,0.5
管理端-题目管理页面,题目手动添加,手动添加单选/多选/判断题，支持富文本编辑（可插入图片）、动态选项管理、正确答案设置、分类选择、难度选择、解析输入和预览功能。,0.3,1.5,0.8,0.5
管理端-题目管理页面,题目编辑修改,编辑已有题目内容，预填充当前数据，保存更新，支持编辑时锁定防止并发冲突。,0.2,0.8,0.5,0.3
管理端-题目管理页面,题目删除,删除单个或批量删除题目，删除前检查是否被考试引用，支持逻辑删除并记录日志。,0.2,0.5,0.5,0.3
管理端-题目管理页面,题目分类管理,管理题目分类信息，支持树形结构展示（多级分类）、添加/编辑/删除分类、分类排序。,0.3,1,0.8,0.5
管理端-题目管理页面,题目难度设置,设置题目难度等级（简单/中等/困难），在添加/编辑表单中选择，列表支持按难度筛选。,0.2,0.3,0.3,0.2
管理端-题目管理页面,AI生成考题,根据管理员指令自动生成考题，对接AI接口生成题目，支持预览审核，批量接受后导入题库。需处理AI接口调用频率限制和超时重试。,1,1.5,3,1
管理端-考试模板管理页面,模板列表展示,展示所有考试模板列表，支持分页、按名称搜索、按时间排序，提供编辑、删除、查看关联考试等操作。,0.3,0.8,0.5,0.3
管理端-考试模板管理页面,模板创建编辑,创建和编辑考试模板基本信息，包括模板名称、描述、适用范围说明，验证名称唯一性。,0.3,1,0.8,0.5
管理端-考试模板管理页面,模板题目配置,为模板配置题目分类和难度范围，展示分类树，支持勾选多个分类和难度，显示预计可抽取题目数量，支持配置抽取规则。,0.5,1.5,1,0.5
管理端-考试模板管理页面,模板权限设置,设置模板的可见范围（全员/指定部门/指定人员）和使用权限，控制谁能基于此模板创建考试。,0.3,0.8,1,0.5
管理端-考试模板管理页面,模板导入导出,上传和下载考试模板文件（JSON/Excel格式），导出模板配置，导入时解析并创建新模板。,0.3,0.8,1,0.5
管理端-考试模板管理页面,AI生成模板,AI智能生成考试模板，输入考试主题和要求，AI生成模板名称、描述、推荐的题目分类和难度配置。,0.8,1,2,0.8
管理端-考试模板管理页面,关联学习资料,将学习资料关联到考试模板，设置学习要求（是否必须完成学习才能参加考试）。,0.3,0.8,0.5,0.3
管理端-考试管理页面,考试列表展示,展示所有考试和练习列表，支持分页、按名称搜索、按状态/类型/时间筛选、排序，提供查看详情、编辑、删除、生成二维码等操作。,0.3,0.8,0.5,0.3
管理端-考试管理页面,考试创建,创建新的考试或练习，设置考试名称、类型、时间（开始/结束）、时长、总分、及格分数、考试说明，支持保存草稿和发布。,0.5,1.5,1,0.5
管理端-考试管理页面,考试题目配置,从题库选择题目组成试卷，支持手动选题（勾选、调整顺序、设置分值）和自动组卷（设置规则后随机抽取），生成后可预览和微调。,0.5,2,1.5,0.8
管理端-考试管理页面,考试参数设置,设置考试各项参数：及格分数、考试时长、答题模式（顺序/随机）、答案显示、重考设置、防作弊设置等。,0.3,0.8,0.5,0.3
管理端-考试管理页面,考试编辑删除,编辑和删除已创建的考试，根据状态限制可编辑内容（未开始可编辑全部，进行中只能延长结束时间，已结束不可编辑），删除时检查是否有人已答题。,0.2,0.5,0.5,0.3
管理端-考试管理页面,生成二维码,生成考试入口小程序码，展示二维码图片，提供下载和分享功能。,0.2,0.5,0.5,0.3
管理端-考试管理页面,生成考试码,生成考试码作为便捷的考试标识，方便员工快速进入考试。,0.2,0.3,0.3,0.2
